Etunimi;Lukumäärä
Toni-Pekka;52
Jymy;52
Stuart;52
Styrbjörn;52
Voldemar;52
Teddy;52
Kay;52
Aapi;52
Jasin;52
Miron;52
Solomon;52
Harold;52
Erasmus;52
Akinpoika;52
Arda;52
Jemi;52
Nathanael;52
Dan-Erik;51
Gert;51
Cosmo;51
Baran;51
Syed;51
Mino;51
Nasir;51
Onni-Pekka;51
Gotthard;51
Eliah;51
Juno;51
Jeffrey;51
Ilmar;51
Pärttyli;51
Grigori;51
Velmeri;51
Anian;51
Toma;51
Kainpoika;50
Nam;50
Dario;50
Ora;50
Lennard;50
Abdiaziz;50
Elliott;50
Alexanteri;50
Askonpoika;50
Fuad;50
Vesa-Heikki;50
Emile;50
Markos;50
